FitchEntityID;OPERATING_ROAA;TOTAL_EQUITY_TOTAL_ASSETS;LA_to_TA;NET_LOANS_TOTAL_ASSETS
1502141;-0.89;5.05;83.21197575560348;10.28
1004597;-0.58;3.09;1.2224938875305622;56.45
1008920;0.44;8.57;8.422519786948081;55.36
1409473;-0.68;15.04;14.227919932908486;59.95
1501231;0.82;10.37;14.017125414100656;64.08
1005799;-0.01;6.93;13.542038443889256;55.26
1010190;0.84;30.85;31.40995812005584;58.31
1012307;-0.33;13.93;34.26966292134831;59.33
1476062;-0.31;7.42;8.385316252168023;63.16
1000895;0.43;7.55;7.322300273842125;61.46
1291591;-0.04;6.59;6.156338598622925;53.04
1065076;0.18;5.33;2.9444211677297862;66.94
111477;0.45;5.77;30.36015490673949;65.42
1498124;1.25;4.1;6.496131502155114;11.83
111480;0.05;5.93;9.970602451644599;80.14
1007520;-0.47;1.79;56.08311064155943;41.39
1007365;1.98;13.58;0.48160443076076226;90.65
1004546;0.75;7.05;14.83892119143356;69.3
1003202;-1.46;8.58;14.094880281480155;79.52
112472;-1.62;5.8;9.576948967816387;62.06
1065077;-4.19;1.92;3.465194725544312;72.49
1003103;-0.11;6.75;18.337165900153305;72.72
1494671;5.41;68.99;13.689564257185339;81.74
1004024;1.31;9.97;8.59757059473103;85.79
1007209;3.3;7.17;57.351991944437266;24.9
1004260;0.92;16.7;23.221634332745445;43.27
1028646;2.25;8.2;2.4801139527658753;93.27
1002424;1.49;3.28;63.04811015022113;8.55
1000316;-6.2;19.43;2.824858757062147;51.08
1391616;-0.04;20.41;30.149528039786578;49.73
1173330;2.13;2.64;78.34338843636482;16.26
1007782;-2.41;4.5;44.5646598760056;37.04
1138470;0.73;5.44;6.929816035485182;91.52
1058393;-3.05;21.89;5.6930488644184445;65.12
1000533;-3.6;5.12;10.891646267690835;58.15
1341890;0.55;5.59;11.72747580044676;30.34
111613;-0.03;8.01;3.8974583256236435;67.78
111816;-2.65;9.1;8.581162694574974;63.22
147923;2.63;14.3;18.187232886446044;66.77
105352;-3.25;7.5;14.43499369763902;58.88
107434;0.26;7.35;9.02904995375825;76.92
107436;0.51;6.65;8.643665900294776;58.94
111775;0.52;7.0;1.358264622243816;70.46
107766;0.58;6.38;8.72486449310562;59.45
147924;0.39;9.24;8.452201419796227;77.41
112066;0.34;7.1;11.383666662065275;47.59
112001;0.39;7.2;24.754630703508905;50.41
146262;0.17;7.85;3.441304922980057;72.21
1356030;0.38;8.58;16.84390342288284;73.17
111492;1.13;9.22;12.805828012138438;54.94
1009707;0.32;4.94;9.693088775623632;68.09
1386031;0.16;4.67;30.08743614930412;59.16
1376270;0.09;2.85;49.84535310632477;11.91
1386010;0.13;4.93;37.85958594053831;51.62
1010544;0.11;5.18;67.1826384565202;6.29
1323611;0.15;5.54;63.3489928083529;8.04
1496483;0.28;7.27;57.57770885898513;15.38
1191470;0.17;5.62;28.910553479334094;1.94
1383655;0.2;7.64;11.53491036141818;37.47
1006274;0.39;4.39;8.684135824712607;83.41
1385994;0.13;6.19;18.179552665321797;55.35
1012840;0.19;4.65;7.613346346720307;65.9
1010559;0.13;4.63;6.4770286336165315;71.62
1471922;0.17;6.4;7.75992714018594;63.22
1005453;0.25;4.87;7.905261392504791;65.47
1305051;0.3;6.98;43.56918340966031;13.23
1386030;0.24;7.72;48.989603771679626;44.35
1008358;0.19;4.52;11.37798705981361;67.1
1385991;0.1;5.86;38.68276610679176;52.06
1246010;0.96;8.29;2.3322837164766255;82.02
1139810;1.04;4.99;19.20330195988188;34.57
141002;0.37;4.46;23.775224058097848;61.35
1010977;0.34;2.7;37.9402478458357;50.86
1220770;0.35;1.87;23.541519486005683;53.0
1177670;3.77;20.79;72.51971200426635;2.07
1010516;0.18;5.54;35.94174363825061;57.95
1334610;1.18;7.33;14.813539401976051;80.86
111489;0.41;9.21;19.18622918448889;55.48
1386011;0.13;6.74;27.67454646892639;59.07
1060973;0.22;3.39;7.404392915477581;63.39
1010456;0.21;5.43;8.473481914442358;50.97
1000198;0.16;7.27;5.423880231324199;55.68
1000234;0.14;5.9;10.565938583576848;54.79
1000517;0.24;4.09;9.957779174254371;58.68
111939;0.49;4.91;10.035655426354086;66.72
1000881;0.56;8.53;7.8915989599984595;55.53
111940;0.47;4.62;16.82943226250182;63.15
1006105;0.19;5.59;12.04587502483474;47.89
1006511;0.27;6.6;6.251541476122583;62.49
1006720;0.3;8.63;9.886248741791348;56.0
1007883;0.18;5.22;11.156290639628255;86.48
1007890;0.19;6.22;6.873472781026467;65.87
1008541;0.36;6.98;5.107053714154563;68.37
1010040;0.17;5.2;7.313001312099068;62.22
1011646;0.27;6.97;8.724844708982998;58.57
111483;0.6;5.9;20.639112189211378;62.86
111484;0.5;6.41;14.85387267173024;65.82
1002312;0.31;5.62;4.792686535858139;73.8
1002320;0.16;5.21;6.963466861210116;60.86
1002374;0.32;6.24;12.103090139379272;53.13
1002376;0.24;5.52;2.382082191492107;66.3
1003050;0.18;5.57;6.378638003566472;61.86
1003053;0.21;5.76;10.748232406060303;55.47
1003057;0.17;4.96;7.461594733500281;61.79
