Date;Open;High;Low;Close;Adj Close;Volume
05/06/1992;3399.699951;3403.100098;3392.469971;3398.699951;3398.699951;237600
08/06/1992;3398.699951;3404.129883;3391.689941;3404.100098;3404.100098;162800
09/06/1992;3404.100098;3405.429932;3359.550049;3369.899902;3369.899902;175100
10/06/1992;3369.899902;3370.949951;3338.290039;3343.199951;3343.199951;208800
11/06/1992;3343.199951;3352.550049;3323.780029;3351.500000;3351.500000;248500
12/06/1992;3352.000000;3381.580078;3352.000000;3354.399902;3354.399902;198200
15/06/1992;3354.399902;3363.189941;3337.510010;3354.899902;3354.899902;172200
16/06/1992;3354.899902;3367.199951;3329.489990;3329.500000;3329.500000;191900
17/06/1992;3329.500000;3329.750000;3283.750000;3287.800049;3287.800049;281400
18/06/1992;3287.800049;3290.429932;3269.030029;3274.100098;3274.100098;256900
19/06/1992;3274.399902;3299.530029;3274.379883;3285.399902;3285.399902;266600
22/06/1992;3285.399902;3285.889893;3254.050049;3280.800049;3280.800049;204200
23/06/1992;3280.800049;3296.850098;3280.540039;3285.600098;3285.600098;263200
24/06/1992;3285.600098;3302.739990;3284.010010;3290.699951;3290.699951;243600
25/06/1992;3290.699951;3304.080078;3271.439941;3284.000000;3284.000000;211600
26/06/1992;3284.000000;3290.969971;3269.840088;3282.399902;3282.399902;166500
29/06/1992;3282.699951;3319.860107;3282.679932;3319.860107;3319.860107;171300
30/06/1992;3319.899902;3331.629883;3316.649902;3318.500000;3318.500000;186300
01/07/1992;3318.800049;3354.100098;3318.790039;3354.100098;3354.100098;227800
02/07/1992;3354.100098;3373.889893;3326.540039;3330.300049;3330.300049;259000
06/07/1992;3330.300049;3340.290039;3326.780029;3339.199951;3339.199951;238700
07/07/1992;3339.199951;3352.709961;3291.389893;3295.199951;3295.199951;252000
08/07/1992;3295.199951;3303.270020;3273.560059;3293.300049;3293.300049;235400
09/07/1992;3293.600098;3336.500000;3293.550049;3324.100098;3324.100098;230900
10/07/1992;3324.100098;3339.750000;3315.159912;3330.600098;3330.600098;154000
13/07/1992;3330.600098;3344.070068;3327.050049;3337.300049;3337.300049;136500
14/07/1992;3337.300049;3358.929932;3328.669922;3358.399902;3358.399902;191300
15/07/1992;3358.399902;3363.250000;3339.750000;3345.399902;3345.399902;211100
16/07/1992;3345.399902;3364.330078;3333.260010;3361.600098;3361.600098;215000
17/07/1992;3361.100098;3361.100098;3317.050049;3331.600098;3331.600098;228300
20/07/1992;3331.100098;3331.100098;3287.060059;3303.000000;3303.000000;180600
21/07/1992;3303.300049;3322.729980;3303.270020;3308.399902;3308.399902;168100
22/07/1992;3307.899902;3307.899902;3275.179932;3277.600098;3277.600098;197500
23/07/1992;3277.600098;3291.389893;3266.530029;3290.000000;3290.000000;230000
24/07/1992;3290.000000;3297.300049;3276.800049;3285.699951;3285.699951;134200
27/07/1992;3285.699951;3299.489990;3282.199951;3282.199951;3282.199951;147600
28/07/1992;3282.199951;3335.149902;3282.199951;3334.100098;3334.100098;220000
29/07/1992;3334.100098;3385.129883;3334.090088;3379.199951;3379.199951;304100
30/07/1992;3379.199951;3395.939941;3374.330078;3391.899902;3391.899902;200600
31/07/1992;3391.899902;3402.959961;3385.669922;3393.800049;3393.800049;135000
03/08/1992;3393.800049;3399.989990;3384.050049;3395.399902;3395.399902;172800
04/08/1992;3395.399902;3396.750000;3377.570068;3384.300049;3384.300049;164300
05/08/1992;3384.300049;3384.320068;3360.280029;3365.100098;3365.100098;178300
06/08/1992;3365.100098;3365.679932;3338.929932;3340.600098;3340.600098;219500
07/08/1992;3340.600098;3369.729980;3331.370117;3332.199951;3332.199951;223100
10/08/1992;3332.199951;3337.580078;3316.780029;3337.560059;3337.560059;155800
11/08/1992;3337.600098;3342.179932;3314.350098;3331.100098;3331.100098;180000
12/08/1992;3331.100098;3342.179932;3310.840088;3320.800049;3320.800049;154800
13/08/1992;3320.800049;3337.040039;3306.790039;3313.300049;3313.300049;199000
14/08/1992;3313.300049;3331.909912;3311.110107;3328.899902;3328.899902;154000
17/08/1992;3328.899902;3338.929932;3321.639893;3324.899902;3324.899902;138600
18/08/1992;3324.899902;3332.449951;3315.699951;3329.500000;3329.500000;129300
19/08/1992;3329.500000;3335.689941;3307.060059;3307.100098;3307.100098;144200
20/08/1992;3307.100098;3315.429932;3295.439941;3304.899902;3304.899902;146900
21/08/1992;3304.899902;3324.080078;3254.100098;3254.100098;3254.100098;216100
24/08/1992;3254.100098;3254.100098;3223.040039;3228.199951;3228.199951;183600
25/08/1992;3228.199951;3235.189941;3207.100098;3232.199951;3232.199951;224600
26/08/1992;3232.199951;3250.050049;3225.469971;3246.800049;3246.800049;178700
27/08/1992;3246.800049;3273.020020;3246.800049;3254.600098;3254.600098;197900
28/08/1992;3254.600098;3269.770020;3249.780029;3267.600098;3267.600098;144300
31/08/1992;3267.600098;3274.100098;3254.370117;3257.399902;3257.399902;128000
01/09/1992;3257.399902;3266.260010;3254.100098;3266.260010;3266.260010;154600
02/09/1992;3266.300049;3292.469971;3263.830078;3290.300049;3290.300049;186700
03/09/1992;3290.300049;3313.540039;3285.179932;3292.199951;3292.199951;234800
04/09/1992;3292.199951;3296.520020;3277.610107;3281.899902;3281.899902;132100
08/09/1992;3281.899902;3282.739990;3257.620117;3260.600098;3260.600098;156300
09/09/1992;3260.600098;3273.020020;3258.159912;3271.399902;3271.399902;188700
10/09/1992;3271.399902;3312.729980;3270.850098;3305.199951;3305.199951;228200
11/09/1992;3305.199951;3317.320068;3300.840088;3305.699951;3305.699951;167800
14/09/1992;3306.800049;3376.489990;3306.790039;3376.199951;3376.199951;307200
15/09/1992;3375.399902;3375.409912;3323.000000;3327.300049;3327.300049;202100
16/09/1992;3327.300049;3333.889893;3307.600098;3319.199951;3319.199951;268500
17/09/1992;3319.199951;3328.669922;3311.379883;3315.699951;3315.699951;201700
18/09/1992;3315.699951;3327.320068;3308.679932;3327.100098;3327.100098;249800
21/09/1992;3327.100098;3327.840088;3310.570068;3320.800049;3320.800049;158500
22/09/1992;3320.800049;3321.100098;3280.040039;3280.899902;3280.899902;210700
23/09/1992;3280.899902;3287.600098;3264.909912;3278.699951;3278.699951;238600
24/09/1992;3279.000000;3294.899902;3278.959961;3287.899902;3287.899902;262400
25/09/1992;3287.899902;3289.770020;3244.840088;3250.300049;3250.300049;221100
28/09/1992;3250.300049;3276.260010;3242.760010;3276.260010;3276.260010;180200
29/09/1992;3276.300049;3280.040039;3259.239990;3266.800049;3266.800049;222800
30/09/1992;3266.800049;3276.800049;3264.370117;3271.699951;3271.699951;192900
01/10/1992;3271.699951;3280.850098;3246.000000;3254.399902;3254.399902;210200
02/10/1992;3254.399902;3259.239990;3198.719971;3200.600098;3200.600098;206700
05/10/1992;3200.600098;3200.610107;3095.790039;3179.000000;3179.000000;373600
06/10/1992;3179.000000;3191.969971;3157.659912;3178.199951;3178.199951;202200
07/10/1992;3178.199951;3187.909912;3145.770020;3152.300049;3152.300049;195300
08/10/1992;3152.300049;3178.189941;3145.770020;3176.000000;3176.000000;224900
09/10/1992;3176.000000;3176.300049;3131.719971;3136.600098;3136.600098;193100
12/10/1992;3136.600098;3174.679932;3136.310059;3174.399902;3174.399902;142600
13/10/1992;3174.399902;3211.959961;3167.649902;3201.399902;3201.399902;203600
14/10/1992;3201.399902;3217.090088;3179.000000;3195.500000;3195.500000;187300
15/10/1992;3195.500000;3198.449951;3167.379883;3174.699951;3174.699951;322400
16/10/1992;3174.699951;3180.350098;3142.530029;3174.399902;3174.399902;408800
19/10/1992;3174.399902;3197.639893;3169.000000;3188.500000;3188.500000;261900
20/10/1992;3188.500000;3213.040039;3179.000000;3186.000000;3186.000000;265000
21/10/1992;3186.000000;3199.800049;3179.810059;3187.100098;3187.100098;246900
22/10/1992;3187.100098;3202.500000;3174.679932;3200.899902;3200.899902;230700
23/10/1992;3200.899902;3215.199951;3196.020020;3207.600098;3207.600098;264900
26/10/1992;3207.600098;3244.919922;3205.199951;3244.100098;3244.100098;234400
27/10/1992;3244.100098;3251.399902;3221.949951;3235.699951;3235.699951;248600
28/10/1992;3235.699951;3251.399902;3224.120117;3251.399902;3251.399902;299300
29/10/1992;3251.399902;3254.909912;3236.810059;3246.300049;3246.300049;200700
30/10/1992;3230.600098;3230.600098;3224.120117;3226.300049;3226.300049;184500
02/11/1992;3226.300049;3262.209961;3221.409912;3262.199951;3262.199951;238600
03/11/1992;3262.199951;3266.800049;3236.810059;3252.500000;3252.500000;255200
04/11/1992;3252.500000;3268.149902;3219.520020;3223.000000;3223.000000;203300
05/11/1992;3223.000000;3245.189941;3215.199951;3243.800049;3243.800049;270300
06/11/1992;3243.800049;3250.050049;3234.350098;3240.100098;3240.100098;236600
09/11/1992;3240.100098;3259.780029;3231.679932;3240.899902;3240.899902;199800
10/11/1992;3240.899902;3252.479980;3224.659912;3225.500000;3225.500000;215400
11/11/1992;3225.500000;3245.729980;3219.250000;3240.300049;3240.300049;226600
12/11/1992;3240.300049;3250.050049;3230.870117;3239.800049;3239.800049;228800
13/11/1992;3239.800049;3240.600098;3224.120117;3233.000000;3233.000000;191100
16/11/1992;3233.000000;3233.030029;3203.850098;3205.699951;3205.699951;174000
17/11/1992;3205.699951;3211.959961;3184.669922;3193.300049;3193.300049;186000
18/11/1992;3193.300049;3214.929932;3191.429932;3207.399902;3207.399902;232400
19/11/1992;3207.399902;3216.820068;3200.610107;3209.500000;3209.500000;215900
20/11/1992;3209.800049;3231.139893;3209.800049;3227.399902;3227.399902;346400
23/11/1992;3227.399902;3234.110107;3214.659912;3223.000000;3223.000000;236600
24/11/1992;3223.000000;3265.989990;3221.679932;3248.699951;3248.699951;280700
25/11/1992;3248.699951;3269.229980;3247.080078;3266.300049;3266.300049;230700
27/11/1992;3266.300049;3296.250000;3266.260010;3282.199951;3282.199951;124400
30/11/1992;3282.699951;3308.409912;3282.699951;3305.199951;3305.199951;230600
01/12/1992;3305.199951;3307.870117;3286.250000;3294.399902;3294.399902;320700
02/12/1992;3294.399902;3297.060059;3280.310059;3286.300049;3286.300049;212200
03/12/1992;3286.300049;3291.659912;3268.959961;3276.500000;3276.500000;207200
04/12/1992;3276.500000;3298.949951;3272.469971;3288.699951;3288.699951;237100
07/12/1992;3289.000000;3307.600098;3288.949951;3307.300049;3307.300049;256900
08/12/1992;3307.300049;3323.540039;3303.540039;3322.199951;3322.199951;230400
09/12/1992;3322.199951;3335.689941;3308.139893;3323.800049;3323.800049;226600
10/12/1992;3323.800049;3323.810059;3300.570068;3312.199951;3312.199951;202300
11/12/1992;3311.899902;3311.919922;3301.110107;3304.100098;3304.100098;135500
14/12/1992;3304.100098;3317.050049;3292.199951;3292.199951;3292.199951;167000
15/12/1992;3292.199951;3295.439941;3279.500000;3284.399902;3284.399902;296400
16/12/1992;3284.399902;3295.709961;3248.159912;3255.199951;3255.199951;308700
17/12/1992;3255.199951;3271.929932;3251.399902;3269.199951;3269.199951;283700
18/12/1992;3270.899902;3313.540039;3270.850098;3313.300049;3313.300049;484300
21/12/1992;3313.300049;3318.399902;3303.270020;3312.500000;3312.500000;266800
22/12/1992;3312.500000;3328.939941;3301.649902;3321.100098;3321.100098;259700
23/12/1992;3321.100098;3332.719971;3313.540039;3313.540039;3313.540039;219800
24/12/1992;3313.500000;3328.129883;3313.000000;3326.199951;3326.199951;99300
28/12/1992;3326.199951;3333.260010;3309.219971;3333.260010;3333.260010;139300
29/12/1992;3333.300049;3352.709961;3306.520020;3310.800049;3310.800049;254000
30/12/1992;3310.800049;3328.669922;3309.760010;3321.100098;3321.100098;160000
31/12/1992;3321.100098;3327.860107;3301.110107;3301.110107;3301.110107;138600
04/01/1993;3301.100098;3319.209961;3298.679932;3309.199951;3309.199951;214000
05/01/1993;3309.199951;3320.830078;3300.570068;3307.899902;3307.899902;280600
06/01/1993;3307.899902;3312.189941;3290.580078;3305.199951;3305.199951;357900
07/01/1993;3305.199951;3313.270020;3260.860107;3269.000000;3269.000000;368200
08/01/1993;3269.000000;3269.000000;3231.949951;3251.699951;3251.699951;306900
11/01/1993;3251.699951;3262.750000;3250.050049;3262.750000;3262.750000;245000
12/01/1993;3262.800049;3268.689941;3240.060059;3264.600098;3264.600098;296600
13/01/1993;3264.600098;3269.500000;3243.840088;3263.600098;3263.600098;289500
14/01/1993;3263.600098;3279.229980;3251.129883;3267.899902;3267.899902;361500
15/01/1993;3267.899902;3285.169922;3258.159912;3271.100098;3271.100098;392700
18/01/1993;3271.100098;3275.719971;3263.020020;3274.899902;3274.899902;230300
19/01/1993;3274.899902;3283.280029;3254.370117;3256.000000;3256.000000;356800
20/01/1993;3256.000000;3264.100098;3240.600098;3242.000000;3242.000000;266800
21/01/1993;3242.000000;3257.620117;3231.949951;3253.000000;3253.000000;270400
22/01/1993;3253.000000;3267.340088;3250.050049;3256.800049;3256.800049;307600
25/01/1993;3257.899902;3294.899902;3257.889893;3292.199951;3292.199951;358400
26/01/1993;3292.199951;3320.020020;3291.659912;3299.000000;3299.000000;474300
27/01/1993;3299.000000;3301.649902;3274.909912;3291.399902;3291.399902;322700
28/01/1993;3291.399902;3308.409912;3289.770020;3306.300049;3306.300049;279300
29/01/1993;3306.300049;3315.159912;3298.949951;3310.000000;3310.000000;220600
01/02/1993;3310.000000;3332.449951;3309.489990;3332.199951;3332.199951;279100
02/02/1993;3332.199951;3334.879883;3318.669922;3328.699951;3328.699951;272900
03/02/1993;3328.899902;3379.459961;3328.899902;3373.800049;3373.800049;352900
04/02/1993;3374.100098;3423.770020;3374.060059;3416.699951;3416.699951;362500
05/02/1993;3416.699951;3443.219971;3411.340088;3442.100098;3442.100098;387200
08/02/1993;3442.100098;3456.729980;3429.439941;3437.500000;3437.500000;294600
09/02/1993;3437.500000;3437.540039;3407.830078;3414.600098;3414.600098;235300
10/02/1993;3414.600098;3424.580078;3394.320068;3412.399902;3412.399902;267700
11/02/1993;3412.399902;3442.679932;3411.879883;3422.699951;3422.699951;292500
12/02/1993;3422.699951;3425.659912;3392.429932;3392.429932;3392.429932;228700
16/02/1993;3392.199951;3392.199951;3304.620117;3309.500000;3309.500000;385800
17/02/1993;3309.500000;3317.590088;3290.310059;3312.199951;3312.199951;317000
18/02/1993;3312.199951;3348.659912;3266.800049;3302.199951;3302.199951;336500
19/02/1993;3302.199951;3322.179932;3287.870117;3322.179932;3322.179932;305200
22/02/1993;3322.199951;3345.959961;3317.050049;3342.989990;3342.989990;341400
23/02/1993;3343.000000;3353.520020;3316.780029;3323.270020;3323.270020;349300
24/02/1993;3323.300049;3356.770020;3322.179932;3356.500000;3356.500000;294100
25/02/1993;3356.500000;3365.139893;3343.260010;3365.139893;3365.139893;252500
26/02/1993;3365.100098;3378.110107;3351.360107;3370.810059;3370.810059;219900
01/03/1993;3370.800049;3383.780029;3350.010010;3355.409912;3355.409912;217700
02/03/1993;3355.399902;3400.800049;3343.260010;3400.530029;3400.530029;253100
03/03/1993;3400.500000;3413.770020;3391.620117;3404.040039;3404.040039;251600
04/03/1993;3404.000000;3409.449951;3388.909912;3398.909912;3398.909912;212500
05/03/1993;3398.899902;3433.219971;3391.889893;3404.580078;3404.580078;280200
08/03/1993;3404.600098;3471.040039;3391.889893;3469.419922;3469.419922;324600
09/03/1993;3469.399902;3482.120117;3462.399902;3472.120117;3472.120117;281200
10/03/1993;3472.100098;3478.340088;3449.429932;3478.340088;3478.340088;287300
11/03/1993;3478.300049;3479.689941;3450.510010;3457.000000;3457.000000;242200
12/03/1993;3456.699951;3456.729980;3403.770020;3427.820068;3427.820068;256500
15/03/1993;3427.800049;3442.409912;3426.469971;3442.409912;3442.409912;169100
16/03/1993;3442.399902;3449.429932;3438.080078;3442.949951;3442.949951;167300
17/03/1993;3443.000000;3444.840088;3422.959961;3426.739990;3426.739990;199700
18/03/1993;3426.699951;3477.530029;3426.699951;3465.639893;3465.639893;244800
19/03/1993;3465.600098;3477.260010;3459.159912;3471.580078;3471.580078;353600
22/03/1993;3470.800049;3470.800049;3444.030029;3463.479980;3463.479980;256700
23/03/1993;3463.500000;3469.689941;3453.479980;3461.860107;3461.860107;218100
24/03/1993;3450.500000;3450.500000;3430.250000;3445.379883;3445.379883;360200
25/03/1993;3445.399902;3472.669922;3445.379883;3461.320068;3461.320068;321900
26/03/1993;3461.300049;3471.310059;3439.439941;3439.979980;3439.979980;253000
29/03/1993;3440.300049;3478.340088;3440.250000;3455.100098;3455.100098;218500
30/03/1993;3455.100098;3458.620117;3434.840088;3457.270020;3457.270020;234500
31/03/1993;3457.300049;3470.770020;3435.110107;3435.110107;3435.110107;256700
01/04/1993;3435.100098;3452.669922;3432.139893;3439.439941;3439.439941;206600
02/04/1993;3439.399902;3439.439941;3365.409912;3370.810059;3370.810059;537400
05/04/1993;3370.800049;3381.350098;3364.870117;3379.189941;3379.189941;350900
06/04/1993;3379.199951;3391.620117;3363.790039;3377.570068;3377.570068;346500
07/04/1993;3377.600098;3397.830078;3372.979980;3397.020020;3397.020020;336200
08/04/1993;3397.000000;3408.100098;3378.649902;3396.479980;3396.479980;358800
12/04/1993;3396.500000;3434.840088;3395.669922;3428.090088;3428.090088;249900
13/04/1993;3428.399902;3450.780029;3428.360107;3444.030029;3444.030029;300700
14/04/1993;3444.000000;3461.860107;3441.600098;3455.639893;3455.639893;246200
15/04/1993;3455.600098;3466.179932;3437.540039;3455.919922;3455.919922;275100
16/04/1993;3456.500000;3478.610107;3456.459961;3478.610107;3478.610107;317700
19/04/1993;3478.600098;3481.580078;3457.810059;3466.989990;3466.989990;250500
20/04/1993;3467.000000;3468.610107;3420.250000;3443.489990;3443.489990;324100
21/04/1993;3443.500000;3453.479980;3426.739990;3439.439941;3439.439941;277200
22/04/1993;3439.399902;3471.040039;3423.770020;3429.169922;3429.169922;340300
23/04/1993;3428.600098;3428.629883;3403.500000;3413.770020;3413.770020;276000
26/04/1993;3413.800049;3425.659912;3387.020020;3398.370117;3398.370117;270700
